sub_ux_id,user_id,ux_start_date,ux_end_date,sub_type,download_id,date,datetime,user_id,session_id,resource_id,career_id,country_id
21444855,15979841,2023-06-21,2023-07-20,2,1571126432,2023-07-21,2023-07-21 00:25:33,15979841,1oe049ektg5n9hhkt238sent9h-0,2729882,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571126798,2023-07-21,2023-07-21 00:26:32,15979841,1oe049ektg5n9hhkt238sent9h-0,3928114,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571130275,2023-07-21,2023-07-21 00:36:31,15979841,1oe049ektg5n9hhkt238sent9h-0,124274,735,12
21444855,15979841,2023-06-21,2023-07-20,2,1571137374,2023-07-21,2023-07-21 00:58:33,15979841,1oe049ektg5n9hhkt238sent9h-0,86554,735,12
21445313,6329550,2023-06-21,2023-07-20,2,1571128488,2023-07-21,2023-07-21 00:31:22,6329550,f135t9hscejohg1pf3f2li07l3-0,2106911,735,12
21445654,4619109,2023-06-21,2023-07-20,2,1571122953,2023-07-21,2023-07-21 00:15:44,4619109,d59ijtfp3hntnppoe50f8s4saa-0,236745,735,12
21446198,10010635,2023-06-21,2023-07-20,2,1571124113,2023-07-21,2023-07-21 00:19:11,10010635,muo3h5k8iah6mvodmul3la39mc-0,6724207,735,12
21446198,10010635,2023-06-21,2023-07-20,2,1571126369,2023-07-21,2023-07-21 00:25:19,10010635,muo3h5k8iah6mvodmul3la39mc-0,6265784,735,12
21446198,10010635,2023-06-21,2023-07-20,2,1571126804,2023-07-21,2023-07-21 00:26:33,10010635,muo3h5k8iah6mvodmul3la39mc-0,6801712,735,12
21446198,10010635,2023-06-21,2023-07-20,2,1571128889,2023-07-21,2023-07-21 00:32:32,10010635,muo3h5k8iah6mvodmul3la39mc-0,6461613,735,12
21446352,17100838,2023-06-21,2023-07-20,2,1571126128,2023-07-21,2023-07-21 00:24:44,17100838,av00m4n4inutihq44l0ap224ap-0,6704936,243,12
21446352,17100838,2023-06-21,2023-07-20,2,1571126145,2023-07-21,2023-07-21 00:24:46,17100838,av00m4n4inutihq44l0ap224ap-0,6120083,243,12
21446352,17100838,2023-06-21,2023-07-20,2,1571130111,2023-07-21,2023-07-21 00:36:03,17100838,av00m4n4inutihq44l0ap224ap-0,6308338,243,12
21446631,13512938,2023-06-21,2023-07-20,2,1571118143,2023-07-21,2023-07-21 00:00:43,13512938,a5uo46l5s78eo1j527a9equ21q-0,1803501,41,12
21446631,13512938,2023-06-21,2023-07-20,2,1571118625,2023-07-21,2023-07-21 00:02:13,13512938,a5uo46l5s78eo1j527a9equ21q-0,6049878,41,12
21446631,13512938,2023-06-21,2023-07-20,2,1571118991,2023-07-21,2023-07-21 00:03:24,13512938,a5uo46l5s78eo1j527a9equ21q-0,132107,41,12
21446870,5380958,2023-06-21,2023-07-20,2,1571124225,2023-07-21,2023-07-21 00:19:29,5380958,11fh6r8cl3ddkmuag2rljoejru-0,6656514,40,12
21446870,5380958,2023-06-21,2023-07-20,2,1571125610,2023-07-21,2023-07-21 00:23:21,5380958,11fh6r8cl3ddkmuag2rljoejru-0,1646952,40,12
21446870,5380958,2023-06-21,2023-07-20,2,1571126999,2023-07-21,2023-07-21 00:27:04,5380958,11fh6r8cl3ddkmuag2rljoejru-0,6706127,40,12
21446870,5380958,2023-06-21,2023-07-20,2,1571127120,2023-07-21,2023-07-21 00:27:26,5380958,11fh6r8cl3ddkmuag2rljoejru-0,3133124,40,12
